Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1929,-0.531,-0.709,-0.371,-0.336,-0.317,-0.363,-0.347,-0.085,-0.146,-0.036,-0.115,-0.684
1930,-0.196,-0.256,-0.062,-0.159,-0.2,-0.133,0.018,0.11,0.057,0.071,0.324,0.068
1931,-0.058,-0.357,-0.046,-0.123,-0.099,0.178,0.147,0.17,0.199,0.316,0.123,0.102
1932,0.318,-0.189,-0.24,0.116,-0.078,-0.092,-0.051,-0.031,0.164,0.127,-0.298,-0.196
1933,-0.292,-0.341,-0.398,-0.184,-0.246,-0.332,-0.116,-0.047,-0.265,-0.166,-0.301,-0.491
1934,-0.249,0.254,-0.456,-0.355,-0.025,-0.049,-0.081,-0.074,-0.084,0.108,0.29,0.08
1935,-0.418,0.472,-0.02,-0.288,-0.266,-0.103,0,0.022,-0.056,0.14,-0.343,-0.178
1936,-0.389,-0.441,-0.256,-0.059,-0.035,0.021,0.081,0.077,0.06,0.029,0.112,0.069
1937,-0.004,0.235,-0.264,-0.052,0.098,0.152,0.136,0.176,0.325,0.349,0.251,0.059
1938,0.288,0.244,0.145,0.277,0.024,-0.045,0.06,0.144,0.212,0.34,0.331,-0.105
1939,-0.075,-0.066,-0.345,-0.074,0.006,-0.007,0.019,0.103,0.143,0.028,0.199,0.708
1940,-0.03,0.106,-0.048,0.254,0.099,0.054,0.113,0.085,0.191,0.239,0.163,0.238
1941,0.003,0.262,-0.107,0.008,0.08,0.095,0.161,0.097,0.021,0.335,-0.046,-0.004
1942,0.314,-0.032,-0.115,0.022,0.121,0.079,0.002,-0.099,0.072,0.149,0.139,0.07
1943,-0.258,0.173,-0.144,0.217,0.192,-0.11,0.033,0.135,0.11,0.404,0.295,0.302
1944,0.575,0.302,0.206,0.091,0.222,0.094,0.105,0.159,0.266,0.4,0.164,0.056
1945,0.155,-0.065,-0.018,0.248,0.046,0.092,0.038,0.249,0.151,0.253,0.089,-0.236
1946,0.231,0.026,-0.053,0.19,0.004,-0.127,-0.064,-0.046,-0.045,0.031,0.097,-0.381
1947,-0.112,0.019,0.167,0.093,-0.056,-0.086,-0.027,-0.04,0.004,0.375,0.249,-0.054
1948,0.27,-0.182,-0.296,0.022,0.198,0.113,0.028,0.118,0.009,0.109,0.03,-0.428
1949,0.168,-0.207,-0.031,-0.045,-0.039,-0.206,-0.203,0.02,-0.125,0.078,-0.046,-0.174
1950,-0.36,-0.371,-0.091,-0.227,-0.068,-0.109,-0.209,-0.174,-0.149,-0.106,-0.334,-0.091
1951,-0.355,-0.578,-0.221,0.05,0.162,0.072,0.13,0.278,0.358,0.329,0.07,0.352
1952,0.163,0.131,-0.275,0.151,0.181,0.17,0.143,0.106,0.187,0.028,-0.193,0.046
1953,0.173,0.288,0.163,0.46,0.265,0.198,0.188,0.177,0.15,0.223,0.068,0.126
1954,-0.283,-0.036,-0.23,-0.017,-0.096,-0.023,-0.105,0.017,0.057,0.141,0.298,-0.096
1955,0.388,-0.202,-0.541,-0.205,-0.147,-0.069,-0.11,0.005,-0.063,0.078,-0.334,-0.307
1956,-0.087,-0.293,-0.331,-0.277,-0.361,-0.251,-0.275,-0.293,-0.367,-0.329,-0.306,-0.18
1957,-0.218,-0.149,-0.278,-0.108,-0.086,0.039,0.036,0.123,0.07,0.003,0.007,0.131
1958,0.525,0.192,0.076,-0.041,0.021,0.012,-0.008,0.102,0.005,0.036,-0.043,0.115
1959,0.206,0.1,0.131,0.107,-0.009,0.071,-0.024,0.036,0.089,-0.057,-0.065,-0.02
1960,0.028,0.328,-0.515,-0.234,-0.035,0.103,0.05,0.059,0.08,-0.014,-0.17,0.326
1961,0.054,0.16,-0.023,0.077,0.001,0.092,0.006,-0.015,-0.146,-0.13,0.013,-0.17
1962,0.179,0.221,0.194,0.132,-0.052,-0.181,0.039,-0.021,-0.084,0.039,0.064,0.047
1963,0.056,0.367,-0.363,-0.05,-0.123,-0.101,0.076,0.137,0.096,0.337,0.35,0.06
1964,-0.085,-0.119,-0.51,-0.406,-0.217,-0.138,-0.179,-0.258,-0.326,-0.334,-0.287,-0.273
1965,-0.086,-0.433,-0.197,-0.315,-0.222,-0.267,-0.231,-0.22,-0.238,-0.02,0.018,-0.13
1966,-0.27,-0.093,-0.18,-0.273,-0.153,-0.012,0.028,0.121,0.058,-0.136,-0.053,-0.104
1967,-0.271,-0.445,0.042,0.008,0.164,-0.081,-0.023,-0.009,-0.066,0.254,-0.051,0.008
1968,-0.345,-0.215,0.255,-0.097,-0.104,-0.091,-0.144,-0.123,-0.092,-0.069,-0.279,-0.365
1969,-0.411,-0.478,-0.303,-0.081,-0.004,-0.131,-0.047,-0.04,-0.028,-0.042,0.073,0.289
1970,-0.043,0.126,-0.181,-0.127,-0.148,-0.093,-0.116,-0.118,-0.109,-0.24,-0.071,-0.353
1971,-0.197,-0.344,-0.373,-0.279,-0.223,-0.199,-0.201,-0.25,-0.182,-0.211,-0.074,-0.214
1972,-0.688,-0.558,-0.202,-0.191,-0.231,-0.146,-0.13,-0.1,-0.26,-0.077,-0.269,-0.147
1973,0.025,0.254,0.128,0.141,0.043,0.099,-0.039,-0.019,-0.122,-0.099,-0.085,-0.066
1974,-0.395,-0.494,-0.159,-0.168,-0.243,-0.224,-0.154,-0.118,-0.157,-0.258,-0.28,-0.345
1975,-0.039,0.047,-0.006,0.018,-0.049,-0.085,-0.127,-0.152,-0.139,-0.221,-0.35,-0.228
1976,-0.033,-0.264,-0.448,-0.045,-0.309,-0.232,-0.27,-0.213,-0.094,-0.469,-0.334,-0.311
1977,-0.114,-0.019,0.049,0.167,0.204,0.221,0.064,0.037,0.142,-0.033,0.232,-0.004
